Subcategory,Year,Aid Category,Derived Unit,Restrict,student level (group),year comp,Years to Display,Category,Enroll,Stdnt Lvl,student level,Average Amount,Percent of Financial Aid,Percent of Students Awarded,Recipients,Total Amount Awarded
SOC,2018-19,All Aid,UW-Whitewater,True,Graduate,True,2018,Students of Color,244,3,3,$16K,2%,55%,133,$2M
Non-SOC,2018-19,All Aid,UW-Whitewater,True,Graduate,True,2018,Students of Color,1544,3,3,$13K,7%,36%,560,$7M
SOC,2018-19,All Aid,UW-Whitewater,True,Undergraduate,True,2018,Students of Color,2402,1,1,$12K,21%,74%,"1,770",$21M
Non-SOC,2018-19,All Aid,UW-Whitewater,True,Undergraduate,True,2018,Students of Color,11002,1,1,$10K,70%,64%,"6,998",$70M
SOC,2018-19,All Aid,UW-Oshkosh,True,Graduate,True,2018,Students of Color,155,3,3,$15K,2%,55%,86,$1M
Non-SOC,2018-19,All Aid,UW-Oshkosh,True,Graduate,True,2018,Students of Color,1518,3,3,$13K,7%,32%,480,$6M
SOC,2018-19,All Aid,UW-Oshkosh,True,Undergraduate,True,2018,Students of Color,2719,1,1,$11K,20%,58%,"1,574",$18M
Non-SOC,2018-19,All Aid,UW-Oshkosh,True,Undergraduate,True,2018,Students of Color,15866,1,1,$10K,71%,41%,"6,527",$62M
SOC,2018-19,All Aid,UW-Stevens Point,True,Graduate,True,2018,Students of Color,33,3,3,$13K,0%,64%,21,$0M
Non-SOC,2018-19,All Aid,UW-Stevens Point,True,Graduate,True,2018,Students of Color,438,3,3,$10K,4%,62%,271,$3M
SOC,2018-19,All Aid,UW-Stevens Point,True,Undergraduate,True,2018,Students of Color,1258,1,1,$12K,17%,78%,980,$12M
Non-SOC,2018-19,All Aid,UW-Stevens Point,True,Undergraduate,True,2018,Students of Color,8497,1,1,$9K,79%,70%,"5,988",$56M
SOC,2015-16,All Aid,UW-Whitewater,True,Graduate,True,2015,Students of Color,190,3,3,$17K,2%,63%,119,$2M
Non-SOC,2015-16,All Aid,UW-Whitewater,True,Graduate,True,2015,Students of Color,1504,3,3,$12K,6%,35%,527,$7M
SOC,2015-16,All Aid,UW-Whitewater,True,Undergraduate,True,2015,Students of Color,2117,1,1,$13K,21%,79%,"1,679",$21M
Non-SOC,2015-16,All Aid,UW-Whitewater,True,Undergraduate,True,2015,Students of Color,10544,1,1,$10K,71%,67%,"7,021",$72M
SOC,2018-19,All Aid,UW-Platteville,True,Graduate,True,2018,Students of Color,234,3,3,$13K,2%,44%,102,$1M
Non-SOC,2018-19,All Aid,UW-Platteville,True,Graduate,True,2018,Students of Color,915,3,3,$10K,3%,21%,196,$2M
SOC,2018-19,All Aid,UW-Platteville,True,Undergraduate,True,2018,Students of Color,912,1,1,$11K,12%,70%,637,$7M
Non-SOC,2018-19,All Aid,UW-Platteville,True,Undergraduate,True,2018,Students of Color,8007,1,1,$9K,82%,66%,"5,299",$49M
SOC,2019-20,All Aid,UW-Eau Claire,True,Graduate,True,2019,Students of Color,93,3,3,$13K,1%,34%,32,$0M
Non-SOC,2019-20,All Aid,UW-Eau Claire,True,Graduate,True,2019,Students of Color,699,3,3,$13K,4%,36%,253,$3M
SOC,2019-20,All Aid,UW-Eau Claire,True,Undergraduate,True,2019,Students of Color,1307,1,1,$11K,14%,76%,993,$11M
Non-SOC,2019-20,All Aid,UW-Eau Claire,True,Undergraduate,True,2019,Students of Color,10130,1,1,$9K,81%,69%,"6,983",$63M
SOC,2015-16,All Aid,UW-La Crosse,True,Graduate,True,2015,Students of Color,85,3,3,$15K,1%,53%,45,$1M
Non-SOC,2015-16,All Aid,UW-La Crosse,True,Graduate,True,2015,Students of Color,1306,3,3,$15K,11%,42%,546,$8M
SOC,2015-16,All Aid,UW-La Crosse,True,Undergraduate,True,2015,Students of Color,923,1,1,$12K,11%,80%,735,$9M
Non-SOC,2015-16,All Aid,UW-La Crosse,True,Undergraduate,True,2015,Students of Color,9494,1,1,$9K,77%,71%,"6,714",$59M
SOC,2017-18,All Aid,UW-Madison,True,Graduate,True,2017,Students of Color,1865,3,3,$23K,7%,81%,"1,514",$35M
Non-SOC,2017-18,All Aid,UW-Madison,True,Graduate,True,2017,Students of Color,10665,3,3,$20K,35%,74%,"7,923",$162M
