Year,Gender,Degree,School,Title,Degrees Conferred
1978-79,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1979-80,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1
1979-80,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2
1980-81,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1980-81,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,7
1981-82,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,5
1981-82,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,17
1982-83,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,8
1982-83,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,22
1983-84,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,9
1983-84,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,28
1984-85,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,16
1984-85,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,28
1985-86,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,5
1985-86,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,36
1986-87,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1986-87,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,35
1987-88,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1987-88,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,33
1988-89,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1988-89,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,27
1989-90,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1989-90,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,23
1990-91,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2
1990-91,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,21
1991-92,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3
1991-92,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,12
1992-93,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,17
1993-94,Female,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,6
1993-94,Male,Bachelor's,UW-Oshkosh,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,27
