Year,UW-Madison Female,UW-Madison Male,UW-Milwaukee Female,UW-Milwaukee Male,UW-Eau Claire Female,UW-Eau Claire Male,UW-Green Bay Female,UW-Green Bay Male,UW-La Crosse Female,UW-La Crosse Male,UW-Oshkosh Female,UW-Oshkosh Male,UW-Parkside Female,UW-Parkside Male,UW-Platteville Female,UW-Platteville Male,UW-River Falls Female,UW-River Falls Male,UW-Stevens Point Female,UW-Stevens Point Male,UW-Stout Female,UW-Stout Male,UW-Superior Female,UW-Superior Male,UW-Whitewater Female ,UW-Whitewater Male,UW System Total Female,UW System Total Male
2021,"4,678","3,787","1,837","1,521","1,428",825,753,455,"1,337",880,"1,030",756,290,178,463,802,684,332,"1,027",783,552,772,193,148,996,"1,131","15,268","12,370"
2020,"3,839","3,467","1,790","1,459","1,427",831,825,444,"1,314",827,"1,092",762,320,221,526,863,730,358,"1,040",798,546,786,166,110,965,"1,090","14,580","12,016"
2019,"4,055","3,495","1,986","1,775","1,533",900,829,518,"1,298",905,"1,260",905,389,274,556,930,795,408,834,695,589,902,173,154,988,"1,131","15,285","12,992"
2018,"3,615","3,247","2,106","1,877","1,583",894,801,505,"1,262",917,"1,418",991,354,295,582,"1,093",881,433,913,874,552,854,177,149,"1,029","1,151","15,273","13,280"
2017,"3,522","3,087","1,755","1,478","1,500",852,650,325,"1,265",854,955,564,374,338,489,937,842,483,828,732,631,897,192,153,954,"1,060","15,664","13,331"
2016,"3,385","3,045","1,708","1,410","1,516",802,586,286,"1,227",866,902,599,363,303,504,"1,057",772,447,843,748,696,892,200,176,"1,041","1,179","15,380","13,368"
2015,"3,237","3,032","1,763","1,552","1,433",806,532,257,"1,242",829,924,648,343,277,518,"1,103",668,398,924,868,722,853,212,154,"1,044","1,145","15,530","13,730"
2014,"3,268","2,996","1,852","1,602","1,270",830,534,236,"1,219",767,"1,016",693,325,305,556,"1,149",637,378,807,824,688,781,193,137,"1,046","1,105","15,411","13,692"
2013,"3,279","3,060","1,708","1,595","1,318",699,556,253,"1,156",849,"1,055",693,417,345,558,"1,088",663,408,848,788,764,809,195,130,"1,054","1,054","15,717","13,819"
2012,"3,347","2,932","1,828","1,664","1,245",828,621,300,"1,168",729,"1,058",783,339,373,610,"1,144",682,437,885,752,730,768,192,174,"1,100","1,068","16,003","13,991"
2011,"3,062","2,766","1,943","1,803","1,214",739,593,317,"1,197",781,"1,073",799,404,362,574,"1,147",727,507,881,732,735,741,179,173,"1,006","1,000","15,863","14,025"
2010,"3,112","2,815","1,922","1,905","1,273",799,579,327,"1,095",745,"1,062",799,414,391,549,"1,055",766,479,889,772,772,824,204,176,978,"1,066","15,888","14,369"
2009,"3,037","2,643","2,067","2,084","1,227",788,654,395,"1,130",698,"1,076",831,497,393,574,"1,059",844,492,841,804,800,741,197,172,950,"1,003","16,056","14,282"
2008,"3,036","2,737","2,160","1,958","1,281",778,626,391,"1,084",701,"1,069",774,484,445,532,"1,022",789,556,890,742,840,804,171,141,"1,032","1,122","16,106","14,223"
2007,"3,206","2,788","2,292","2,306","1,253",781,655,348,"1,087",667,"1,049",711,488,463,539,"1,007",750,537,893,731,766,732,203,147,996,"1,067","16,321","14,331"
